specialty,sample_id,audio_tier,model,metric_source,metric_code,value,metric_name,group,output_type,lower_is_better
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,jiwer.wer(),0.2761904761904762,WER - Word Error Rate,Summary Error Rates,Percentage (%),True
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,jiwer.cer(),0.11773794808405438,CER - Character Error Rate,Summary Error Rates,Percentage (%),True
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,jiwer.mer(),0.2664624808575804,MER - Match Error Rate,Summary Error Rates,Percentage (%),True
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,jiwer.wil(),0.3990229975378491,WIL - Word Information Lost,Summary Error Rates,Percentage (%),True
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,jiwer.wip(),0.6009770024621509,WIP - Word Information Preserved,Summary Error Rates,Percentage (%),False
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,result.substitutions,104.0,Substitutions,Error Type Breakdown,Integer count,True
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,result.deletions,47.0,Deletions,Error Type Breakdown,Integer count,True
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,result.insertions,23.0,Insertions,Error Type Breakdown,Integer count,True
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,result.hits,479.0,Hits - Correct Words,Error Type Breakdown,Integer count,False
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,hits / N * 100,76.03174603174604,Word Accuracy,Derived Metrics,Percentage (%),False
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,S / (S+D+I) * 100,59.770114942528735,Substitution Rate,Derived Metrics,Percentage (%),False
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,D / (S+D+I) * 100,27.011494252873565,Deletion Rate,Derived Metrics,Percentage (%),False
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,I / (S+D+I) * 100,13.218390804597702,Insertion Rate,Derived Metrics,Percentage (%),False
CARDIAC,CARD_0001,clean,whisper,WHISPER_Metrics,whisper_wer,27.61904761904762,,,,True
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,jiwer.wer(),0.2777777777777778,WER - Word Error Rate,Summary Error Rates,Percentage (%),True
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,jiwer.cer(),0.12021013597033374,CER - Character Error Rate,Summary Error Rates,Percentage (%),True
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,jiwer.mer(),0.26676829268292684,MER - Match Error Rate,Summary Error Rates,Percentage (%),True
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,jiwer.wil(),0.4076779313876089,WIL - Word Information Lost,Summary Error Rates,Percentage (%),True
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,jiwer.wip(),0.5923220686123911,WIP - Word Information Preserved,Summary Error Rates,Percentage (%),False
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,result.substitutions,113.0,Substitutions,Error Type Breakdown,Integer count,True
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,result.deletions,36.0,Deletions,Error Type Breakdown,Integer count,True
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,result.insertions,26.0,Insertions,Error Type Breakdown,Integer count,True
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,result.hits,481.0,Hits - Correct Words,Error Type Breakdown,Integer count,False
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,hits / N * 100,76.34920634920636,Word Accuracy,Derived Metrics,Percentage (%),False
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,S / (S+D+I) * 100,64.57142857142857,Substitution Rate,Derived Metrics,Percentage (%),False
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,D / (S+D+I) * 100,20.571428571428573,Deletion Rate,Derived Metrics,Percentage (%),False
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,I / (S+D+I) * 100,14.857142857142858,Insertion Rate,Derived Metrics,Percentage (%),False
CARDIAC,CARD_0001,med,whisper,WHISPER_Metrics,whisper_wer,27.77777777777778,,,,True
CARDIAC,CARD_0001,hard,whisper,WHISPER_Metrics,jiwer.wer(),0.33015873015873015,WER - Word Error Rate,Summary Error Rates,Percentage (%),True
CARDIAC,CARD_0001,hard,whisper,WHISPER_Metrics,jiwer.cer(),0.1492583436341162,CER - Character Error Rate,Summary Error Rates,Percentage (%),True
CARDIAC,CARD_0001,hard,whisper,WHISPER_Metrics,jiwer.mer(),0.3132530120481928,MER - Match Error Rate,Summary Error Rates,Percentage (%),True
