specialty,audio_tier,model,metric_code,mean_value,n
CARDIAC,clean,whisper,D / (S+D+I) * 100,27.011494252873565,1
CARDIAC,clean,whisper,I / (S+D+I) * 100,13.218390804597702,1
CARDIAC,clean,whisper,S / (S+D+I) * 100,59.770114942528735,1
CARDIAC,clean,whisper,hits / N * 100,76.03174603174604,1
CARDIAC,clean,whisper,jiwer.cer(),0.11773794808405438,1
CARDIAC,clean,whisper,jiwer.mer(),0.2664624808575804,1
CARDIAC,clean,whisper,jiwer.wer(),0.2761904761904762,1
CARDIAC,clean,whisper,jiwer.wil(),0.3990229975378491,1
CARDIAC,clean,whisper,jiwer.wip(),0.6009770024621509,1
CARDIAC,clean,whisper,result.deletions,47.0,1
CARDIAC,clean,whisper,result.hits,479.0,1
CARDIAC,clean,whisper,result.insertions,23.0,1
CARDIAC,clean,whisper,result.substitutions,104.0,1
CARDIAC,clean,whisper,whisper_wer,27.61904761904762,1
CARDIAC,hard,whisper,D / (S+D+I) * 100,22.115384615384617,1
CARDIAC,hard,whisper,I / (S+D+I) * 100,16.346153846153847,1
CARDIAC,hard,whisper,S / (S+D+I) * 100,61.53846153846154,1
CARDIAC,hard,whisper,hits / N * 100,72.38095238095238,1
CARDIAC,hard,whisper,jiwer.cer(),0.1492583436341162,1
CARDIAC,hard,whisper,jiwer.mer(),0.3132530120481928,1
CARDIAC,hard,whisper,jiwer.wer(),0.33015873015873015,1
CARDIAC,hard,whisper,jiwer.wil(),0.4659269533055941,1
CARDIAC,hard,whisper,jiwer.wip(),0.5340730466944059,1
CARDIAC,hard,whisper,result.deletions,46.0,1
CARDIAC,hard,whisper,result.hits,456.0,1
CARDIAC,hard,whisper,result.insertions,34.0,1
CARDIAC,hard,whisper,result.substitutions,128.0,1
CARDIAC,hard,whisper,whisper_wer,33.01587301587301,1
CARDIAC,med,whisper,D / (S+D+I) * 100,20.571428571428573,1
CARDIAC,med,whisper,I / (S+D+I) * 100,14.857142857142858,1
CARDIAC,med,whisper,S / (S+D+I) * 100,64.57142857142857,1
CARDIAC,med,whisper,hits / N * 100,76.34920634920636,1
CARDIAC,med,whisper,jiwer.cer(),0.12021013597033374,1
CARDIAC,med,whisper,jiwer.mer(),0.26676829268292684,1
CARDIAC,med,whisper,jiwer.wer(),0.2777777777777778,1
CARDIAC,med,whisper,jiwer.wil(),0.4076779313876089,1
CARDIAC,med,whisper,jiwer.wip(),0.5923220686123911,1
CARDIAC,med,whisper,result.deletions,36.0,1
CARDIAC,med,whisper,result.hits,481.0,1
CARDIAC,med,whisper,result.insertions,26.0,1
CARDIAC,med,whisper,result.substitutions,113.0,1
CARDIAC,med,whisper,whisper_wer,27.77777777777778,1
HALO,clean,whisper,D / (S+D+I) * 100,25.37313432835821,1
HALO,clean,whisper,I / (S+D+I) * 100,22.885572139303484,1
HALO,clean,whisper,S / (S+D+I) * 100,51.74129353233831,1
HALO,clean,whisper,hits / N * 100,80.76923076923077,1
HALO,clean,whisper,jiwer.cer(),0.12581699346405228,1
HALO,clean,whisper,jiwer.mer(),0.23591549295774647,1
HALO,clean,whisper,jiwer.wer(),0.24937965260545905,1
HALO,clean,whisper,jiwer.wil(),0.34356093344857386,1
HALO,clean,whisper,jiwer.wip(),0.6564390665514261,1
HALO,clean,whisper,result.deletions,51.0,1
HALO,clean,whisper,result.hits,651.0,1
HALO,clean,whisper,result.insertions,46.0,1
HALO,clean,whisper,result.substitutions,104.0,1
HALO,clean,whisper,whisper_wer,24.937965260545905,1
HALO,hard,whisper,D / (S+D+I) * 100,19.302949061662197,1
HALO,hard,whisper,I / (S+D+I) * 100,0.40214477211796246,1
HALO,hard,whisper,S / (S+D+I) * 100,80.29490616621985,1
HALO,hard,whisper,hits / N * 100,7.816377171215881,1
HALO,hard,whisper,jiwer.cer(),0.6995798319327731,1
HALO,hard,whisper,jiwer.mer(),0.9221260815822002,1
HALO,hard,whisper,jiwer.wer(),0.9255583126550868,1
HALO,hard,whisper,jiwer.wil(),0.9925950111009534,1
HALO,hard,whisper,jiwer.wip(),0.007404988899046625,1
HALO,hard,whisper,result.deletions,144.0,1
HALO,hard,whisper,result.hits,63.0,1
HALO,hard,whisper,result.insertions,3.0,1
HALO,hard,whisper,result.substitutions,599.0,1
HALO,hard,whisper,whisper_wer,92.55583126550869,1
HALO,med,whisper,D / (S+D+I) * 100,21.98391420911528,1
HALO,med,whisper,I / (S+D+I) * 100,0.5361930294906166,1
HALO,med,whisper,S / (S+D+I) * 100,77.4798927613941,1
HALO,med,whisper,hits / N * 100,7.94044665012407,1
HALO,med,whisper,jiwer.cer(),0.6986461251167133,1
HALO,med,whisper,jiwer.mer(),0.9209876543209876,1
HALO,med,whisper,jiwer.wer(),0.9255583126550868,1
HALO,med,whisper,jiwer.wil(),0.99213330362836,1
HALO,med,whisper,jiwer.wip(),0.007866696371639946,1
HALO,med,whisper,result.deletions,164.0,1
HALO,med,whisper,result.hits,64.0,1
HALO,med,whisper,result.insertions,4.0,1
HALO,med,whisper,result.substitutions,578.0,1
HALO,med,whisper,whisper_wer,92.55583126550869,1
NEURO,clean,whisper,D / (S+D+I) * 100,21.115537848605577,1
NEURO,clean,whisper,I / (S+D+I) * 100,9.56175298804781,1
NEURO,clean,whisper,S / (S+D+I) * 100,69.32270916334662,1
NEURO,clean,whisper,hits / N * 100,81.64915117219078,1
NEURO,clean,whisper,jiwer.cer(),0.07549713515335356,1
NEURO,clean,whisper,jiwer.mer(),0.19904837430610625,1
NEURO,clean,whisper,jiwer.wer(),0.2029102667744543,1
NEURO,clean,whisper,jiwer.wil(),0.3173373950007228,1
NEURO,clean,whisper,jiwer.wip(),0.6826626049992772,1
NEURO,clean,whisper,result.deletions,53.0,1
NEURO,clean,whisper,result.hits,1010.0,1
NEURO,clean,whisper,result.insertions,24.0,1
NEURO,clean,whisper,result.substitutions,174.0,1
NEURO,clean,whisper,whisper_wer,20.29102667744543,1
NEURO,hard,whisper,D / (S+D+I) * 100,19.618528610354222,1
NEURO,hard,whisper,I / (S+D+I) * 100,11.444141689373296,1
NEURO,hard,whisper,S / (S+D+I) * 100,68.93732970027249,1
NEURO,hard,whisper,hits / N * 100,73.72675828617623,1
NEURO,hard,whisper,jiwer.cer(),0.15369059656218403,1
NEURO,hard,whisper,jiwer.mer(),0.2869429241594996,1
NEURO,hard,whisper,jiwer.wer(),0.29668552950687144,1
NEURO,hard,whisper,jiwer.wil(),0.44292623399343223,1
NEURO,hard,whisper,jiwer.wip(),0.5570737660065678,1
NEURO,hard,whisper,result.deletions,72.0,1
NEURO,hard,whisper,result.hits,912.0,1
